customer_id,amount,payment_method,failure_reason,previous_payments,previous_successes,previous_failures,previous_recovery,customer_tenure_months,average_payment_amount,retry_count,intervention,recovery_outcome
C10038,1382.3,UPI,Authentication Failure,11,5,6,No,36,1722.57,1,No Action,Not Recovered
C10039,4682.27,UPI,Insufficient Funds,2,2,0,No,11,3894.58,0,Payment Link,Recovered
C10040,7221.54,Card,Technical Error,16,12,4,Yes,26,9237.39,1,Retry,Recovered
C10041,4587.75,NetBanking,Insufficient Funds,3,0,3,Yes,2,4986.49,2,No Action,Not Recovered
C10042,3646.53,Wallet,Temporary Failure,20,3,17,No,29,3219.75,0,No Action,Not Recovered
C10043,3143.73,NetBanking,Temporary Failure,1,0,1,No,29,3380.76,3,No Action,Not Recovered
C10044,1225.66,Card,Insufficient Funds,20,13,7,Yes,36,1368.32,1,Payment Link,Not Recovered
C10045,2248.85,Card,Technical Error,8,0,8,No,19,2620.69,1,No Action,Not Recovered
C10046,2767.05,UPI,Bank Declined,19,4,15,No,10,3480.59,1,No Action,Not Recovered
C10047,9318.41,UPI,Bank Declined,1,0,1,No,11,6781.98,0,No Action,Not Recovered
C10048,5265.57,Card,Temporary Failure,5,2,3,No,7,7136.51,3,No Action,Not Recovered
C10049,976.15,Card,Insufficient Funds,1,0,1,No,13,906.52,1,Payment Link,Not Recovered
C10050,5183.92,Card,Temporary Failure,11,2,9,No,2,6678.76,0,No Action,Recovered
C10051,2939.47,Card,Technical Error,9,1,8,Yes,30,2282.16,0,No Action,Not Recovered
C10052,2327.41,UPI,Authentication Failure,5,4,1,Yes,22,1450.5,2,No Action,Not Recovered
C10053,6524.96,Card,Insufficient Funds,2,2,0,No,1,6907.81,3,No Action,Not Recovered
C10054,9125.69,UPI,Temporary Failure,13,1,12,Yes,27,7845.66,2,No Action,Recovered
C10055,8425.97,UPI,Temporary Failure,18,0,18,No,7,11691.62,1,No Action,Not Recovered
C10056,2044.02,NetBanking,Bank Declined,12,4,8,No,1,1397.22,0,No Action,Not Recovered
C10057,3123.41,Card,Bank Declined,14,12,2,Yes,25,1992.24,1,Reminder,Recovered
C10058,5213.78,Wallet,Technical Error,5,2,3,No,4,3316.04,0,No Action,Recovered
C10059,8729.7,UPI,Temporary Failure,10,10,0,Yes,30,6752.41,0,Retry,Recovered
C10060,2726.33,Card,Technical Error,20,11,9,No,8,2899.05,3,No Action,Not Recovered
C10061,3447.91,UPI,Bank Declined,2,2,0,No,21,3463.26,1,Reminder,Recovered
C10062,1650.74,UPI,Insufficient Funds,4,0,4,No,4,1452.75,3,No Action,Not Recovered
C10063,1536.23,NetBanking,Bank Declined,12,8,4,Yes,4,1030.86,0,Reminder,Recovered
C10064,7662.32,Card,Temporary Failure,11,1,10,No,8,6030.17,1,No Action,Not Recovered
C10065,11837.66,NetBanking,Insufficient Funds,4,1,3,No,26,8846.49,0,Payment Link,Not Recovered
C10066,3776.08,UPI,Authentication Failure,11,3,8,No,29,4518.21,1,No Action,Not Recovered
C10067,8927.36,NetBanking,Insufficient Funds,9,5,4,Yes,16,10926.71,1,Payment Link,Recovered
C10068,5342.02,UPI,Technical Error,10,8,2,Yes,19,6525.87,2,No Action,Recovered
C10069,2387.38,NetBanking,Bank Declined,6,6,0,No,1,3283.2,2,No Action,Not Recovered
C10070,5340.99,UPI,Temporary Failure,15,14,1,Yes,34,6982.76,3,No Action,Recovered
C10071,13690.79,UPI,Bank Declined,10,7,3,No,29,13666.75,0,Reminder,Not Recovered
C10072,3886.98,Card,Bank Declined,6,6,0,Yes,27,3622.47,3,No Action,Recovered
C10073,13985.34,Wallet,Insufficient Funds,1,0,1,No,30,18637.07,1,Payment Link,Not Recovered
C10074,491.89,UPI,Temporary Failure,20,17,3,Yes,6,535.66,3,No Action,Recovered
C10075,7720.02,UPI,Insufficient Funds,4,0,4,No,36,6450.22,1,Payment Link,Not Recovered
C10076,4288.48,NetBanking,Temporary Failure,14,14,0,Yes,2,4509.64,3,No Action,Not Recovered
C10077,3149.01,UPI,Temporary Failure,20,0,20,No,14,4388.84,3,No Action,Not Recovered
C10078,4304.68,UPI,Insufficient Funds,20,13,7,No,8,5508.17,1,Payment Link,Recovered
C10079,815.66,UPI,Insufficient Funds,8,1,7,No,3,672.94,1,Payment Link,Not Recovered
C10080,3355.35,UPI,Authentication Failure,11,2,9,No,35,4571.21,3,No Action,Not Recovered
C10081,5322.72,Wallet,Insufficient Funds,15,2,13,No,27,7372.87,1,Payment Link,Not Recovered
C10082,13047.67,NetBanking,Technical Error,19,9,10,No,34,10241.55,3,No Action,Not Recovered
C10083,2642.38,Card,Bank Declined,8,3,5,No,28,3478.62,0,No Action,Not Recovered
C10084,2094.89,Wallet,Technical Error,13,4,9,Yes,31,2737.1,2,No Action,Recovered
C10085,2677.51,Card,Temporary Failure,18,5,13,Yes,17,1691.66,1,No Action,Not Recovered
C10086,8319.62,UPI,Authentication Failure,17,16,1,Yes,19,9449.02,1,Reminder,Not Recovered
C10087,5203.31,UPI,Bank Declined,6,5,1,Yes,11,4392.76,3,No Action,Not Recovered
C10088,2618.2,UPI,Technical Error,15,12,3,Yes,9,2983.94,1,Retry,Recovered
C10089,6030.97,UPI,Insufficient Funds,13,7,6,No,30,8026.3,0,Payment Link,Not Recovered
C10090,4323.03,Wallet,Temporary Failure,18,9,9,No,6,4318.81,2,No Action,Recovered
C10091,8681.64,NetBanking,Bank Declined,11,8,3,Yes,14,8087.21,2,No Action,Recovered
C10092,2281.09,UPI,Temporary Failure,13,4,9,No,31,3050.33,1,No Action,Recovered
C10093,3077.64,Card,Insufficient Funds,1,0,1,No,11,4244.96,0,Payment Link,Not Recovered
C10094,2922.99,Card,Temporary Failure,18,3,15,No,5,1899.33,2,No Action,Recovered
C10095,1240.46,Wallet,Bank Declined,5,5,0,Yes,31,1660.08,2,No Action,Recovered
C10096,5069.24,NetBanking,Authentication Failure,6,5,1,No,2,3377.2,0,Reminder,Not Recovered
C10097,4929.01,Card,Insufficient Funds,1,0,1,No,17,4287.4,2,No Action,Not Recovered
C10098,4016.4,NetBanking,Technical Error,7,3,4,Yes,36,4860.08,3,No Action,Recovered
C10099,3315.55,Card,Bank Declined,4,2,2,No,3,4050.37,0,No Action,Recovered
C10100,1289.17,Card,Insufficient Funds,9,4,5,No,29,1522.07,2,No Action,Not Recovered
C10101,2857.02,UPI,Authentication Failure,15,1,14,No,33,1803.61,0,No Action,Not Recovered
C10102,3040.81,UPI,Authentication Failure,6,0,6,No,14,2147.95,1,No Action,Not Recovered
C10103,2105.33,Card,Technical Error,17,10,7,No,29,2840.03,2,No Action,Not Recovered
C10104,3515.8,UPI,Temporary Failure,20,19,1,No,23,2338.6,2,No Action,Not Recovered
C10105,5526.39,UPI,Bank Declined,18,10,8,No,17,3663.09,3,No Action,Not Recovered
C10106,18087.9,Card,Temporary Failure,4,1,3,No,11,22944.8,3,No Action,Not Recovered
C10107,4599.54,UPI,Insufficient Funds,9,9,0,Yes,28,5119.35,2,No Action,Not Recovered
C10108,4915.21,Card,Insufficient Funds,14,5,9,No,7,4331.9,0,Payment Link,Not Recovered
C10109,3768.73,Card,Technical Error,3,1,2,No,8,2760.85,2,No Action,Not Recovered
C10110,861.81,Wallet,Authentication Failure,1,1,0,No,29,1126.68,3,No Action,Recovered
C10111,3916.05,Card,Insufficient Funds,11,5,6,No,25,5446.56,3,No Action,Not Recovered
C10112,4197.46,UPI,Temporary Failure,1,0,1,No,7,2686.28,2,No Action,Not Recovered
C10113,28699.74,Card,Authentication Failure,12,6,6,No,22,29942.17,0,No Action,Not Recovered
C10114,3429.47,NetBanking,Temporary Failure,9,5,4,No,9,2774.59,2,No Action,Not Recovered
C10115,5091.3,Wallet,Bank Declined,5,2,3,No,11,6445.12,2,No Action,Not Recovered
C10116,3890.45,UPI,Temporary Failure,15,0,15,No,34,3411.37,0,No Action,Not Recovered
C10117,1570.43,UPI,Insufficient Funds,18,17,1,Yes,27,1840.08,0,Payment Link,Recovered
C10118,9979.7,Wallet,Authentication Failure,9,6,3,Yes,22,10295.25,0,Reminder,Recovered
C10119,7299.76,UPI,Temporary Failure,13,12,1,Yes,3,7542.25,2,No Action,Recovered
C10120,7531.69,Card,Insufficient Funds,13,6,7,No,8,9688.76,1,Payment Link,Not Recovered
C10121,1932.44,UPI,Insufficient Funds,13,3,10,No,6,1886.69,0,Payment Link,Not Recovered
C10122,12286.85,UPI,Authentication Failure,10,5,5,No,25,15683.91,2,No Action,Not Recovered
C10123,1303.19,UPI,Authentication Failure,10,0,10,No,2,1160.81,1,No Action,Not Recovered
C10124,6396.69,UPI,Temporary Failure,7,1,6,No,16,4732.44,3,No Action,Not Recovered
C10125,23072.9,Card,Temporary Failure,5,5,0,Yes,21,22251.09,1,Retry,Recovered
C10126,1810.97,Wallet,Bank Declined,20,1,19,No,15,1808.59,0,No Action,Not Recovered
C10127,2542.78,UPI,Insufficient Funds,7,3,4,No,34,2498.81,0,Payment Link,Not Recovered
C10128,4331.94,NetBanking,Bank Declined,20,11,9,No,20,5400.48,0,No Action,Not Recovered
C10129,2673.84,UPI,Temporary Failure,10,10,0,Yes,31,2812.19,3,No Action,Not Recovered
C10130,1156.92,Card,Temporary Failure,10,3,7,No,15,1516.44,0,No Action,Not Recovered
C10131,4225.53,UPI,Bank Declined,13,3,10,No,28,4273.48,0,No Action,Not Recovered
C10132,1709.93,Wallet,Temporary Failure,15,9,6,No,6,1333.36,2,No Action,Not Recovered
C10133,5842.56,NetBanking,Authentication Failure,6,0,6,No,3,4110.81,2,No Action,Not Recovered
C10134,1916.99,Card,Temporary Failure,20,9,11,No,23,2481.91,3,No Action,Not Recovered
C10135,13821.73,NetBanking,Temporary Failure,12,6,6,No,3,8914.16,0,No Action,Not Recovered
C10136,2137.62,Card,Authentication Failure,19,13,6,Yes,8,1483.7,2,No Action,Recovered
C10137,3091.47,Wallet,Insufficient Funds,11,6,5,No,2,2012.32,0,Payment Link,Recovered
C10138,7668.4,Card,Technical Error,6,3,3,No,7,7200.53,0,No Action,Not Recovered
C10139,1494.22,Wallet,Temporary Failure,1,0,1,No,17,1533.21,1,No Action,Not Recovered
C10140,4798.3,Card,Bank Declined,2,0,2,No,7,2955.27,0,No Action,Not Recovered
C10141,11381.72,UPI,Technical Error,15,10,5,No,33,11523.64,1,Reminder,Recovered
C10142,1105.51,Card,Insufficient Funds,4,4,0,Yes,36,1011.55,2,No Action,Not Recovered
C10143,4636.69,UPI,Technical Error,5,2,3,No,4,5651.74,0,No Action,Not Recovered
C10144,4924.39,Card,Bank Declined,15,15,0,Yes,16,6224.26,1,Reminder,Not Recovered
C10145,7476.41,Card,Insufficient Funds,11,2,9,Yes,21,8582.72,1,Payment Link,Not Recovered
C10146,1486.96,Card,Bank Declined,10,5,5,No,18,1455.43,2,No Action,Not Recovered
C10147,1390.87,UPI,Bank Declined,17,3,14,No,28,1075.03,1,No Action,Not Recovered
C10148,6072.97,UPI,Temporary Failure,2,1,1,No,16,7759.38,0,No Action,Not Recovered
C10149,5072.75,Card,Insufficient Funds,20,19,1,Yes,22,4430.21,0,Payment Link,Recovered
C10150,4887.54,Wallet,Insufficient Funds,10,7,3,Yes,6,4325.64,1,Payment Link,Recovered
C10151,5277.5,UPI,Insufficient Funds,20,13,7,Yes,30,7033.9,0,Payment Link,Recovered
C10152,2321.64,UPI,Technical Error,3,3,0,Yes,28,3204.97,0,Retry,Recovered
C10153,4816.74,Card,Insufficient Funds,19,15,4,Yes,17,6350.89,3,No Action,Not Recovered
C10154,5056.89,Card,Authentication Failure,5,3,2,Yes,36,7072.5,1,Reminder,Recovered
C10155,2258.75,UPI,Temporary Failure,3,3,0,No,12,2925.37,2,No Action,Recovered
C10156,17794.94,UPI,Insufficient Funds,8,3,5,Yes,12,20704.16,2,No Action,Not Recovered
C10157,5843.68,UPI,Technical Error,5,2,3,No,36,4879.8,0,No Action,Not Recovered
C10158,1542.26,Wallet,Bank Declined,12,4,8,No,29,2101.12,1,No Action,Not Recovered
C10159,6763.48,UPI,Bank Declined,14,11,3,Yes,2,8801.33,0,Reminder,Not Recovered
C10160,1834.09,UPI,Temporary Failure,7,4,3,No,29,1453.7,0,No Action,Not Recovered
C10161,7507.95,UPI,Insufficient Funds,11,4,7,No,30,7442.86,1,Payment Link,Not Recovered
C10162,10106.42,UPI,Temporary Failure,8,0,8,No,36,6630.26,2,No Action,Not Recovered
C10163,2074.56,NetBanking,Authentication Failure,5,5,0,Yes,25,2826.89,3,No Action,Recovered
C10164,8645.12,UPI,Insufficient Funds,8,3,5,No,21,9148.39,3,No Action,Not Recovered
C10165,5565.12,UPI,Authentication Failure,12,12,0,Yes,22,4430.73,0,Reminder,Not Recovered
C10166,7720.99,Card,Bank Declined,15,13,2,No,10,6438.68,3,No Action,Not Recovered
C10167,18242.04,UPI,Insufficient Funds,19,15,4,No,31,25256.56,2,No Action,Recovered
C10168,3287.03,UPI,Bank Declined,16,8,8,No,9,3591.05,0,No Action,Not Recovered
C10169,2188.69,NetBanking,Technical Error,14,9,5,Yes,34,2049.81,1,Reminder,Recovered
C10170,1963.41,NetBanking,Authentication Failure,7,2,5,No,23,1963.17,3,No Action,Not Recovered
C10171,2082.66,Wallet,Temporary Failure,8,6,2,Yes,12,1413.79,1,Retry,Recovered
C10172,3760.73,NetBanking,Insufficient Funds,7,5,2,Yes,7,2482.15,2,No Action,Not Recovered
C10173,5255.19,Card,Insufficient Funds,18,13,5,Yes,32,5644.95,0,Payment Link,Recovered
C10174,4991.05,UPI,Temporary Failure,6,4,2,Yes,19,5038.98,1,Reminder,Recovered
C10175,7752.7,NetBanking,Bank Declined,19,3,16,No,22,6879.15,0,No Action,Not Recovered
C10176,4041.82,NetBanking,Authentication Failure,4,3,1,Yes,16,4255.6,3,No Action,Recovered
C10177,12795.86,NetBanking,Insufficient Funds,3,1,2,No,8,8421.48,0,Payment Link,Not Recovered
C10178,3236.75,Card,Technical Error,17,10,7,No,30,4386.42,2,No Action,Not Recovered
C10179,35248.74,UPI,Bank Declined,19,7,12,No,6,29431.62,0,No Action,Not Recovered
C10180,6598.41,NetBanking,Insufficient Funds,15,13,2,Yes,2,4337.95,0,Payment Link,Recovered
C10181,2014.9,Card,Temporary Failure,6,5,1,Yes,34,1482.17,3,No Action,Not Recovered
C10182,1698.22,Wallet,Technical Error,12,6,6,No,29,1148.64,2,No Action,Recovered
C10183,5884.21,UPI,Authentication Failure,19,6,13,No,20,4371.28,1,No Action,Not Recovered
C10184,3345.19,UPI,Bank Declined,6,4,2,Yes,3,3122.41,0,Reminder,Recovered
C10185,7081.56,UPI,Temporary Failure,11,1,10,Yes,35,8430.18,0,No Action,Not Recovered
C10186,5840.9,NetBanking,Temporary Failure,20,11,9,Yes,8,4777.15,1,No Action,Recovered
C10187,3773.61,UPI,Temporary Failure,20,13,7,Yes,12,3580.18,2,No Action,Recovered
C10188,2031.67,UPI,Bank Declined,10,1,9,No,32,2728.54,1,No Action,Not Recovered
C10189,1190.55,Wallet,Technical Error,16,11,5,No,29,996.08,0,Reminder,Recovered
C10190,2798.5,UPI,Temporary Failure,18,9,9,No,21,3458.32,0,No Action,Recovered
C10191,7936.03,NetBanking,Technical Error,14,11,3,Yes,3,5763.57,2,No Action,Recovered
C10192,4747.27,UPI,Bank Declined,4,2,2,No,27,3525.6,3,No Action,Not Recovered
C10193,1476.54,NetBanking,Bank Declined,12,5,7,No,3,1424.75,2,No Action,Not Recovered
C10194,4594.4,Card,Authentication Failure,20,18,2,Yes,1,3617.09,1,Reminder,Recovered
C10195,5444.19,Wallet,Temporary Failure,8,0,8,Yes,20,7199.52,2,No Action,Not Recovered
C10196,1972.32,Wallet,Authentication Failure,7,4,3,Yes,7,1263.47,1,No Action,Recovered
C10197,4523.45,UPI,Temporary Failure,9,5,4,No,1,4875.46,3,No Action,Not Recovered
C10198,4190.67,UPI,Insufficient Funds,17,15,2,Yes,10,4540.1,3,No Action,Not Recovered
C10199,1603.07,UPI,Authentication Failure,10,1,9,No,12,1046.52,1,No Action,Not Recovered
C10200,5325.59,Card,Authentication Failure,3,3,0,Yes,4,6316.42,0,Reminder,Recovered
C10201,6264.65,NetBanking,Bank Declined,8,8,0,No,7,6108.77,1,Reminder,Recovered
C10202,9513.72,Card,Bank Declined,14,4,10,No,10,11211.53,1,No Action,Not Recovered
C10203,9293.69,Card,Technical Error,7,4,3,No,22,11724.36,2,No Action,Not Recovered
C10204,1328.64,UPI,Technical Error,16,12,4,Yes,25,1140.4,3,No Action,Recovered
C10205,1888.97,NetBanking,Temporary Failure,18,7,11,No,29,1865.53,2,No Action,Recovered
C10206,6039.51,Wallet,Technical Error,11,5,6,No,15,4883.6,0,No Action,Not Recovered
C10207,6033.47,UPI,Insufficient Funds,6,2,4,No,19,4592.74,0,Payment Link,Not Recovered
C10208,6039.57,Card,Insufficient Funds,20,19,1,Yes,18,3626.62,0,Payment Link,Recovered
C10209,50000.0,UPI,Insufficient Funds,14,9,5,Yes,3,68545.26,1,Payment Link,Recovered
C10210,6315.5,Card,Bank Declined,13,3,10,No,6,6017.05,2,No Action,Not Recovered
C10211,9921.92,Card,Authentication Failure,4,3,1,Yes,22,6056.89,1,Reminder,Not Recovered
C10212,8580.53,UPI,Bank Declined,20,12,8,No,31,5209.68,0,Reminder,Not Recovered
C10213,6735.6,UPI,Authentication Failure,20,1,19,No,21,5595.14,3,No Action,Not Recovered
C10214,3108.31,UPI,Temporary Failure,11,2,9,Yes,8,1899.64,2,No Action,Not Recovered
C10215,7340.96,Card,Technical Error,18,3,15,Yes,1,6604.01,1,No Action,Not Recovered
C10216,2155.52,Card,Technical Error,1,0,1,No,3,1401.84,2,No Action,Not Recovered
C10217,3309.64,UPI,Bank Declined,12,12,0,Yes,29,2089.71,1,Reminder,Recovered
C10218,2712.86,NetBanking,Bank Declined,18,18,0,Yes,6,3080.47,3,No Action,Recovered
C10219,4270.77,Card,Bank Declined,7,7,0,Yes,33,5660.79,3,No Action,Recovered
C10220,25483.25,UPI,Authentication Failure,12,7,5,No,18,23635.95,0,No Action,Not Recovered
C10221,898.06,UPI,Technical Error,1,1,0,No,1,1140.01,3,No Action,Not Recovered
C10222,6926.14,NetBanking,Temporary Failure,4,1,3,No,22,4317.84,1,No Action,Not Recovered
C10223,1100.89,Wallet,Technical Error,18,10,8,No,31,1345.45,1,No Action,Not Recovered
C10224,2742.17,UPI,Insufficient Funds,15,1,14,No,23,1783.07,0,Payment Link,Not Recovered
C10225,9558.73,UPI,Temporary Failure,3,3,0,Yes,8,12146.77,0,Retry,Recovered
C10226,4211.08,UPI,Authentication Failure,7,7,0,No,29,5499.22,3,No Action,Not Recovered
C10227,1688.94,Card,Insufficient Funds,6,0,6,No,19,2075.33,3,No Action,Not Recovered
C10228,2257.03,UPI,Technical Error,15,0,15,No,16,2836.18,1,No Action,Not Recovered
C10229,6889.32,UPI,Temporary Failure,15,15,0,Yes,19,7228.19,1,Retry,Recovered
C10230,2230.0,Card,Temporary Failure,6,5,1,Yes,22,1810.55,1,Retry,Recovered
C10231,4756.26,Card,Insufficient Funds,8,3,5,Yes,19,5301.26,0,Payment Link,Not Recovered
C10232,4148.52,UPI,Temporary Failure,8,1,7,Yes,4,3947.87,0,No Action,Recovered
C10233,2375.04,UPI,Technical Error,1,1,0,No,5,1435.16,0,Retry,Not Recovered
C10234,22230.15,Card,Temporary Failure,13,0,13,No,5,21818.02,2,No Action,Not Recovered
C10235,6642.11,UPI,Insufficient Funds,13,7,6,No,25,7445.48,2,No Action,Not Recovered
C10236,791.5,UPI,Temporary Failure,11,1,10,No,24,483.69,0,No Action,Not Recovered
C10237,4643.45,NetBanking,Temporary Failure,4,3,1,Yes,1,5094.27,3,No Action,Recovered
C10238,2355.76,UPI,Technical Error,7,2,5,Yes,28,2643.22,2,No Action,Not Recovered
C10239,7910.9,Card,Temporary Failure,12,1,11,Yes,21,5747.16,3,No Action,Not Recovered
C10240,2121.83,Wallet,Bank Declined,13,7,6,No,19,2004.83,2,No Action,Recovered
C10241,3649.19,UPI,Authentication Failure,12,2,10,No,23,5004.74,1,No Action,Recovered
C10242,5991.15,UPI,Bank Declined,16,8,8,No,14,7832.54,1,No Action,Not Recovered
C10243,7995.66,Card,Technical Error,6,1,5,No,6,7425.23,1,No Action,Not Recovered
C10244,1531.21,NetBanking,Temporary Failure,14,4,10,Yes,32,1347.28,3,No Action,Recovered
C10245,3060.85,Wallet,Temporary Failure,19,18,1,Yes,32,2140.34,2,No Action,Recovered
C10246,2735.57,Card,Authentication Failure,16,4,12,No,8,1718.35,2,No Action,Not Recovered
C10247,2371.76,UPI,Technical Error,4,1,3,No,22,1987.46,3,No Action,Not Recovered
C10248,16422.59,Card,Bank Declined,5,5,0,Yes,8,22207.06,1,Reminder,Not Recovered
C10249,5530.51,UPI,Bank Declined,9,8,1,No,10,7559.6,3,No Action,Not Recovered
C10250,1458.76,Card,Insufficient Funds,3,3,0,Yes,3,1823.47,1,Payment Link,Recovered
C10251,8336.0,UPI,Temporary Failure,10,1,9,No,13,7341.18,0,No Action,Not Recovered
C10252,21846.03,UPI,Technical Error,17,17,0,Yes,30,15617.75,2,No Action,Recovered
C10253,9136.4,NetBanking,Bank Declined,19,19,0,Yes,4,9834.67,3,No Action,Recovered
C10254,1186.25,Card,Insufficient Funds,10,7,3,Yes,6,1325.28,3,No Action,Not Recovered
C10255,2715.31,UPI,Authentication Failure,12,10,2,Yes,16,2551.47,1,Reminder,Not Recovered
C10256,11021.23,UPI,Insufficient Funds,7,4,3,Yes,22,12710.98,3,No Action,Recovered
C10257,2270.86,NetBanking,Temporary Failure,18,16,2,Yes,27,2719.0,1,Retry,Recovered
C10258,5705.04,Card,Authentication Failure,19,15,4,Yes,21,6996.94,1,Reminder,Recovered
C10259,7433.54,UPI,Technical Error,15,9,6,Yes,29,7447.21,2,No Action,Recovered
C10260,1905.51,UPI,Bank Declined,7,5,2,No,1,2350.09,1,Reminder,Recovered
C10261,3813.98,UPI,Temporary Failure,12,4,8,No,30,2366.12,1,No Action,Not Recovered
C10262,300.0,Wallet,Temporary Failure,7,0,7,No,24,343.3,3,No Action,Not Recovered
C10263,1762.59,Card,Bank Declined,10,3,7,No,13,1389.81,3,No Action,Not Recovered
C10264,3268.2,Card,Insufficient Funds,20,0,20,No,30,2668.21,1,Payment Link,Not Recovered
C10265,1474.13,Card,Technical Error,10,5,5,Yes,26,992.15,1,No Action,Recovered
C10266,14764.47,UPI,Authentication Failure,5,5,0,Yes,34,11131.14,1,Reminder,Recovered
C10267,1274.03,NetBanking,Technical Error,18,0,18,No,20,1775.5,0,No Action,Recovered
C10268,2813.02,Card,Insufficient Funds,9,7,2,Yes,6,2622.61,1,Payment Link,Recovered
C10269,4441.03,UPI,Technical Error,16,3,13,No,9,5960.81,0,No Action,Not Recovered
C10270,12670.96,UPI,Insufficient Funds,7,1,6,No,16,9253.85,3,No Action,Not Recovered
C10271,1268.21,Card,Temporary Failure,10,0,10,Yes,4,967.96,2,No Action,Not Recovered
C10272,10143.42,Wallet,Temporary Failure,5,2,3,No,32,10612.56,2,No Action,Not Recovered
C10273,4032.88,UPI,Insufficient Funds,7,2,5,No,20,3547.43,2,No Action,Not Recovered
C10274,1824.1,NetBanking,Authentication Failure,5,1,4,Yes,29,2034.11,2,No Action,Not Recovered
C10275,5789.1,NetBanking,Temporary Failure,15,10,5,Yes,31,5428.08,3,No Action,Recovered
C10276,4690.51,UPI,Temporary Failure,19,9,10,No,17,5859.75,2,No Action,Not Recovered
C10277,2474.7,UPI,Authentication Failure,10,7,3,Yes,25,2339.2,3,No Action,Not Recovered
C10278,4229.72,UPI,Temporary Failure,8,4,4,Yes,16,4474.53,3,No Action,Not Recovered
C10279,2938.92,Card,Technical Error,9,6,3,Yes,20,2518.24,1,Reminder,Recovered
C10280,4380.26,UPI,Insufficient Funds,11,1,10,No,10,5095.26,1,Payment Link,Not Recovered
